289	110	2017-12-20	2017-12-21
290	110	2017-12-20	2017-12-21
136	111	2017-12-20	2017-12-21
291	111	2017-12-20	2017-12-21
292	111	2017-12-20	2017-12-21
141	111	2017-12-20	2017-12-21
293	111	2017-12-20	2017-12-21
185	112	2017-12-20	2017-12-21
294	113	2017-12-20	2017-12-21
295	114	2017-12-20	2017-12-21
79	114	2017-12-20	2017-12-21
296	115	2017-12-20	2017-12-21
297	115	2017-12-20	2017-12-21
298	116	2017-12-20	2017-12-21
58	116	2017-12-20	2017-12-21
59	116	2017-12-20	2017-12-21
299	116	2017-12-20	2017-12-21
111	117	2017-12-20	2017-12-21
300	117	2017-12-20	2017-12-21
301	117	2017-12-20	2017-12-21
302	117	2017-12-20	2017-12-21
113	117	2017-12-20	2017-12-21
64	118	2017-12-20	2017-12-21
303	119	2017-12-20	2017-12-21
304	119	2017-12-20	2017-12-21
257	119	2017-12-20	2017-12-21
305	120	2017-12-20	2017-12-21
306	120	2017-12-20	2017-12-21
307	121	2017-12-20	2017-12-21
308	121	2017-12-20	2017-12-21
309	121	2017-12-20	2017-12-21
310	121	2017-12-20	2017-12-21
311	122	2017-12-20	2017-12-21
312	122	2017-12-20	2017-12-21
313	122	2017-12-20	2017-12-21
299	123	2017-12-20	2017-12-21
195	123	2017-12-20	2017-12-21
314	124	2017-12-20	2017-12-21
315	124	2017-12-20	2017-12-21
316	124	2017-12-20	2017-12-21
170	124	2017-12-20	2017-12-21
172	124	2017-12-20	2017-12-21
317	125	2017-12-20	2017-12-21
318	125	2017-12-20	2017-12-21
319	125	2017-12-20	2017-12-21
320	126	2017-12-20	2017-12-21
29	126	2017-12-20	2017-12-21
321	126	2017-12-20	2017-12-21
322	127	2017-12-20	2017-12-21
323	127	2017-12-20	2017-12-21
324	127	2017-12-20	2017-12-21
140	127	2017-12-20	2017-12-21
254	128	2017-12-20	2017-12-21
141	128	2017-12-20	2017-12-21
147	128	2017-12-20	2017-12-21
45	128	2017-12-20	2017-12-21
325	129	2017-12-20	2017-12-21
326	129	2017-12-20	2017-12-21
327	129	2017-12-20	2017-12-21
